algo,n_runs,best,median,q1,q3,iqr,std,worst
GA_avec_etalon,10,2.6596,3.0291,3.023,3.4184,0.3954,0.4026,4.0559
GA_sans_etalon,10,2.6596,3.2197,3.0722,3.2197,0.1476,0.2712,3.531
