algo,n_runs,best,median,q1,q3,iqr,std,worst
GA_best,10,2.6596,3.0291,3.023,3.4184,0.3954,0.4026,4.0559
UMDA,10,3.023,3.7085,3.3151,3.867,0.5519,0.4017,4.1855
