run,seed,algo,generation,eval_count,best_fitness,best_word,pop_best_fitness,pop_best_word,diversity
0,42,GA_best,1,390,24.024053819751067,duarl,24.024053819751067,duarl,0.985
0,42,GA_best,2,580,12.19994405619223,amarl,12.19994405619223,amarl,0.955
0,42,GA_best,3,770,7.8788942456887705,amal,7.8788942456887705,amal,0.915
0,42,GA_best,4,960,7.8788942456887705,amal,7.8788942456887705,amal,0.885
0,42,GA_best,5,1150,7.8788942456887705,amal,7.8788942456887705,amal,0.83
0,42,GA_best,6,1340,7.403532147612961,fral,7.403532147612961,fral,0.775
0,42,GA_best,7,1530,7.403532147612961,fral,7.403532147612961,fral,0.725
0,42,GA_best,8,1720,6.513503971075404,tral,6.513503971075404,tral,0.675
0,42,GA_best,9,1910,6.273667327179407,amard,6.273667327179407,amard,0.655
0,42,GA_best,10,2100,5.592406272956447,arai,5.592406272956447,arai,0.64
0,42,GA_best,11,2290,5.592406272956447,arai,5.592406272956447,arai,0.725
0,42,GA_best,12,2480,4.055934423938047,trai,4.055934423938047,trai,0.735
0,42,GA_best,13,2670,4.055934423938047,trai,4.055934423938047,trai,0.775
0,42,GA_best,14,2860,4.055934423938047,trai,4.055934423938047,trai,0.745
0,42,GA_best,15,3050,4.055934423938047,trai,4.055934423938047,trai,0.71
0,42,GA_best,16,3240,4.055934423938047,trai,4.055934423938047,trai,0.705
0,42,GA_best,17,3430,4.055934423938047,trai,4.055934423938047,trai,0.615
0,42,GA_best,18,3620,4.055934423938047,trai,4.055934423938047,trai,0.535
0,42,GA_best,19,3810,4.055934423938047,trai,4.055934423938047,trai,0.57
0,42,GA_best,20,4000,4.055934423938047,trai,4.055934423938047,trai,0.5
0,42,GA_best,21,4190,4.055934423938047,trai,4.055934423938047,trai,0.53
0,42,GA_best,22,4380,4.055934423938047,trai,4.055934423938047,trai,0.525
0,42,GA_best,23,4570,4.055934423938047,trai,4.055934423938047,trai,0.575
0,42,GA_best,24,4760,4.055934423938047,trai,4.055934423938047,trai,0.49
0,42,GA_best,25,4950,4.055934423938047,trai,4.055934423938047,trai,0.54
0,42,GA_best,26,5140,4.055934423938047,trai,4.055934423938047,trai,0.56
0,42,GA_best,27,5330,4.055934423938047,trai,4.055934423938047,trai,0.495
0,42,GA_best,28,5520,4.055934423938047,trai,4.055934423938047,trai,0.555
0,42,GA_best,29,5710,4.055934423938047,trai,4.055934423938047,trai,0.525
0,42,GA_best,30,5900,4.055934423938047,trai,4.055934423938047,trai,0.515
0,42,GA_best,31,6090,4.055934423938047,trai,4.055934423938047,trai,0.52
0,42,GA_best,32,6280,4.055934423938047,trai,4.055934423938047,trai,0.575
0,42,GA_best,33,6470,4.055934423938047,trai,4.055934423938047,trai,0.56
0,42,GA_best,34,6660,4.055934423938047,trai,4.055934423938047,trai,0.6
0,42,GA_best,35,6850,4.055934423938047,trai,4.055934423938047,trai,0.63
0,42,GA_best,36,7040,4.055934423938047,trai,4.055934423938047,trai,0.585
0,42,GA_best,37,7230,4.055934423938047,trai,4.055934423938047,trai,0.56
0,42,GA_best,38,7420,4.055934423938047,trai,4.055934423938047,trai,0.55
0,42,GA_best,39,7610,4.055934423938047,trai,4.055934423938047,trai,0.575
0,42,GA_best,40,7800,4.055934423938047,trai,4.055934423938047,trai,0.635
0,42,GA_best,41,7990,4.055934423938047,trai,4.055934423938047,trai,0.58
0,42,GA_best,42,8180,4.055934423938047,trai,4.055934423938047,trai,0.55
0,42,GA_best,43,8370,4.055934423938047,trai,4.055934423938047,trai,0.545
0,42,GA_best,44,8560,4.055934423938047,trai,4.055934423938047,trai,0.55
0,42,GA_best,45,8750,4.055934423938047,trai,4.055934423938047,trai,0.585
0,42,GA_best,46,8940,4.055934423938047,trai,4.055934423938047,trai,0.56
0,42,GA_best,47,9130,4.055934423938047,trai,4.055934423938047,trai,0.615
0,42,GA_best,48,9320,4.055934423938047,trai,4.055934423938047,trai,0.565
0,42,GA_best,49,9510,4.055934423938047,trai,4.055934423938047,trai,0.56
0,42,GA_best,50,9700,4.055934423938047,trai,4.055934423938047,trai,0.505
0,42,GA_best,51,9890,4.055934423938047,trai,4.055934423938047,trai,0.535
0,42,GA_best,52,10080,4.055934423938047,trai,4.055934423938047,trai,0.585
0,42,GA_best,53,10270,4.055934423938047,trai,4.055934423938047,trai,0.575
0,42,GA_best,54,10460,4.055934423938047,trai,4.055934423938047,trai,0.56
0,42,GA_best,55,10650,4.055934423938047,trai,4.055934423938047,trai,0.59
0,42,GA_best,56,10840,4.055934423938047,trai,4.055934423938047,trai,0.505
0,42,GA_best,57,11030,4.055934423938047,trai,4.055934423938047,trai,0.555
0,42,GA_best,58,11220,4.055934423938047,trai,4.055934423938047,trai,0.56
0,42,GA_best,59,11410,4.055934423938047,trai,4.055934423938047,trai,0.54
0,42,GA_best,60,11600,4.055934423938047,trai,4.055934423938047,trai,0.555
0,42,GA_best,61,11790,4.055934423938047,trai,4.055934423938047,trai,0.57
0,42,GA_best,62,11980,4.055934423938047,trai,4.055934423938047,trai,0.605
0,42,GA_best,63,12170,4.055934423938047,trai,4.055934423938047,trai,0.57
0,42,GA_best,64,12360,4.055934423938047,trai,4.055934423938047,trai,0.585
0,42,GA_best,65,12550,4.055934423938047,trai,4.055934423938047,trai,0.53
0,42,GA_best,66,12740,4.055934423938047,trai,4.055934423938047,trai,0.54
0,42,GA_best,67,12930,4.055934423938047,trai,4.055934423938047,trai,0.58
0,42,GA_best,68,13120,4.055934423938047,trai,4.055934423938047,trai,0.515
0,42,GA_best,69,13310,4.055934423938047,trai,4.055934423938047,trai,0.5
0,42,GA_best,70,13500,4.055934423938047,trai,4.055934423938047,trai,0.555
0,42,GA_best,71,13690,4.055934423938047,trai,4.055934423938047,trai,0.57
0,42,GA_best,72,13880,4.055934423938047,trai,4.055934423938047,trai,0.615
0,42,GA_best,73,14070,4.055934423938047,trai,4.055934423938047,trai,0.585
0,42,GA_best,74,14260,4.055934423938047,trai,4.055934423938047,trai,0.565
0,42,GA_best,75,14450,4.055934423938047,trai,4.055934423938047,trai,0.605
0,42,GA_best,76,14640,4.055934423938047,trai,4.055934423938047,trai,0.63
0,42,GA_best,77,14830,4.055934423938047,trai,4.055934423938047,trai,0.58
0,42,GA_best,78,15020,4.055934423938047,trai,4.055934423938047,trai,0.61
0,42,GA_best,79,15210,4.055934423938047,trai,4.055934423938047,trai,0.565
0,42,GA_best,80,15400,4.055934423938047,trai,4.055934423938047,trai,0.535
0,42,GA_best,81,15590,4.055934423938047,trai,4.055934423938047,trai,0.535
0,42,GA_best,82,15780,4.055934423938047,trai,4.055934423938047,trai,0.53
0,42,GA_best,83,15970,4.055934423938047,trai,4.055934423938047,trai,0.54
0,42,GA_best,84,16160,4.055934423938047,trai,4.055934423938047,trai,0.545
0,42,GA_best,85,16350,4.055934423938047,trai,4.055934423938047,trai,0.54
0,42,GA_best,86,16540,4.055934423938047,trai,4.055934423938047,trai,0.475
0,42,GA_best,87,16730,4.055934423938047,trai,4.055934423938047,trai,0.545
0,42,GA_best,88,16920,4.055934423938047,trai,4.055934423938047,trai,0.555
0,42,GA_best,89,17110,4.055934423938047,trai,4.055934423938047,trai,0.58
0,42,GA_best,90,17300,4.055934423938047,trai,4.055934423938047,trai,0.615
0,42,GA_best,91,17490,4.055934423938047,trai,4.055934423938047,trai,0.555
0,42,GA_best,92,17680,4.055934423938047,trai,4.055934423938047,trai,0.535
0,42,GA_best,93,17870,4.055934423938047,trai,4.055934423938047,trai,0.58
0,42,GA_best,94,18060,4.055934423938047,trai,4.055934423938047,trai,0.605
0,42,GA_best,95,18250,4.055934423938047,trai,4.055934423938047,trai,0.57
0,42,GA_best,96,18440,4.055934423938047,trai,4.055934423938047,trai,0.59
0,42,GA_best,97,18630,4.055934423938047,trai,4.055934423938047,trai,0.59
