algo,n_runs,best,median,q1,q3,iqr,std,worst
GA_single_point,10,2.6596,3.0291,3.023,3.4184,0.3954,0.4026,4.0559
GA_uniform,10,2.6596,2.9848,2.7298,3.2197,0.49,0.2755,3.3543
