run,seed,algo,generation,eval_count,best_fitness,best_word,pop_best_fitness,pop_best_word,diversity
0,42,GA_single_point,1,390,24.024053819751067,duarl,24.024053819751067,duarl,0.985
0,42,GA_single_point,2,580,12.19994405619223,amarl,12.19994405619223,amarl,0.955
0,42,GA_single_point,3,770,7.8788942456887705,amal,7.8788942456887705,amal,0.915
0,42,GA_single_point,4,960,7.8788942456887705,amal,7.8788942456887705,amal,0.885
0,42,GA_single_point,5,1150,7.8788942456887705,amal,7.8788942456887705,amal,0.83
0,42,GA_single_point,6,1340,7.403532147612961,fral,7.403532147612961,fral,0.775
0,42,GA_single_point,7,1530,7.403532147612961,fral,7.403532147612961,fral,0.725
0,42,GA_single_point,8,1720,6.513503971075404,tral,6.513503971075404,tral,0.675
0,42,GA_single_point,9,1910,6.273667327179407,amard,6.273667327179407,amard,0.655
0,42,GA_single_point,10,2100,5.592406272956447,arai,5.592406272956447,arai,0.64
0,42,GA_single_point,11,2290,5.592406272956447,arai,5.592406272956447,arai,0.725
0,42,GA_single_point,12,2480,4.055934423938047,trai,4.055934423938047,trai,0.735
0,42,GA_single_point,13,2670,4.055934423938047,trai,4.055934423938047,trai,0.775
0,42,GA_single_point,14,2860,4.055934423938047,trai,4.055934423938047,trai,0.745
0,42,GA_single_point,15,3050,4.055934423938047,trai,4.055934423938047,trai,0.71
0,42,GA_single_point,16,3240,4.055934423938047,trai,4.055934423938047,trai,0.705
0,42,GA_single_point,17,3430,4.055934423938047,trai,4.055934423938047,trai,0.615
0,42,GA_single_point,18,3620,4.055934423938047,trai,4.055934423938047,trai,0.535
0,42,GA_single_point,19,3810,4.055934423938047,trai,4.055934423938047,trai,0.57
0,42,GA_single_point,20,4000,4.055934423938047,trai,4.055934423938047,trai,0.5
0,42,GA_single_point,21,4190,4.055934423938047,trai,4.055934423938047,trai,0.53
0,42,GA_single_point,22,4380,4.055934423938047,trai,4.055934423938047,trai,0.525
0,42,GA_single_point,23,4570,4.055934423938047,trai,4.055934423938047,trai,0.575
0,42,GA_single_point,24,4760,4.055934423938047,trai,4.055934423938047,trai,0.49
0,42,GA_single_point,25,4950,4.055934423938047,trai,4.055934423938047,trai,0.54
0,42,GA_single_point,26,5140,4.055934423938047,trai,4.055934423938047,trai,0.56
0,42,GA_single_point,27,5330,4.055934423938047,trai,4.055934423938047,trai,0.495
0,42,GA_single_point,28,5520,4.055934423938047,trai,4.055934423938047,trai,0.555
0,42,GA_single_point,29,5710,4.055934423938047,trai,4.055934423938047,trai,0.525
0,42,GA_single_point,30,5900,4.055934423938047,trai,4.055934423938047,trai,0.515
0,42,GA_single_point,31,6090,4.055934423938047,trai,4.055934423938047,trai,0.52
0,42,GA_single_point,32,6280,4.055934423938047,trai,4.055934423938047,trai,0.575
0,42,GA_single_point,33,6470,4.055934423938047,trai,4.055934423938047,trai,0.56
0,42,GA_single_point,34,6660,4.055934423938047,trai,4.055934423938047,trai,0.6
0,42,GA_single_point,35,6850,4.055934423938047,trai,4.055934423938047,trai,0.63
0,42,GA_single_point,36,7040,4.055934423938047,trai,4.055934423938047,trai,0.585
0,42,GA_single_point,37,7230,4.055934423938047,trai,4.055934423938047,trai,0.56
0,42,GA_single_point,38,7420,4.055934423938047,trai,4.055934423938047,trai,0.55
0,42,GA_single_point,39,7610,4.055934423938047,trai,4.055934423938047,trai,0.575
0,42,GA_single_point,40,7800,4.055934423938047,trai,4.055934423938047,trai,0.635
0,42,GA_single_point,41,7990,4.055934423938047,trai,4.055934423938047,trai,0.58
0,42,GA_single_point,42,8180,4.055934423938047,trai,4.055934423938047,trai,0.55
0,42,GA_single_point,43,8370,4.055934423938047,trai,4.055934423938047,trai,0.545
0,42,GA_single_point,44,8560,4.055934423938047,trai,4.055934423938047,trai,0.55
0,42,GA_single_point,45,8750,4.055934423938047,trai,4.055934423938047,trai,0.585
0,42,GA_single_point,46,8940,4.055934423938047,trai,4.055934423938047,trai,0.56
0,42,GA_single_point,47,9130,4.055934423938047,trai,4.055934423938047,trai,0.615
0,42,GA_single_point,48,9320,4.055934423938047,trai,4.055934423938047,trai,0.565
0,42,GA_single_point,49,9510,4.055934423938047,trai,4.055934423938047,trai,0.56
0,42,GA_single_point,50,9700,4.055934423938047,trai,4.055934423938047,trai,0.505
0,42,GA_single_point,51,9890,4.055934423938047,trai,4.055934423938047,trai,0.535
0,42,GA_single_point,52,10080,4.055934423938047,trai,4.055934423938047,trai,0.585
0,42,GA_single_point,53,10270,4.055934423938047,trai,4.055934423938047,trai,0.575
0,42,GA_single_point,54,10460,4.055934423938047,trai,4.055934423938047,trai,0.56
0,42,GA_single_point,55,10650,4.055934423938047,trai,4.055934423938047,trai,0.59
0,42,GA_single_point,56,10840,4.055934423938047,trai,4.055934423938047,trai,0.505
0,42,GA_single_point,57,11030,4.055934423938047,trai,4.055934423938047,trai,0.555
0,42,GA_single_point,58,11220,4.055934423938047,trai,4.055934423938047,trai,0.56
0,42,GA_single_point,59,11410,4.055934423938047,trai,4.055934423938047,trai,0.54
0,42,GA_single_point,60,11600,4.055934423938047,trai,4.055934423938047,trai,0.555
0,42,GA_single_point,61,11790,4.055934423938047,trai,4.055934423938047,trai,0.57
0,42,GA_single_point,62,11980,4.055934423938047,trai,4.055934423938047,trai,0.605
0,42,GA_single_point,63,12170,4.055934423938047,trai,4.055934423938047,trai,0.57
0,42,GA_single_point,64,12360,4.055934423938047,trai,4.055934423938047,trai,0.585
0,42,GA_single_point,65,12550,4.055934423938047,trai,4.055934423938047,trai,0.53
0,42,GA_single_point,66,12740,4.055934423938047,trai,4.055934423938047,trai,0.54
0,42,GA_single_point,67,12930,4.055934423938047,trai,4.055934423938047,trai,0.58
0,42,GA_single_point,68,13120,4.055934423938047,trai,4.055934423938047,trai,0.515
0,42,GA_single_point,69,13310,4.055934423938047,trai,4.055934423938047,trai,0.5
0,42,GA_single_point,70,13500,4.055934423938047,trai,4.055934423938047,trai,0.555
0,42,GA_single_point,71,13690,4.055934423938047,trai,4.055934423938047,trai,0.57
0,42,GA_single_point,72,13880,4.055934423938047,trai,4.055934423938047,trai,0.615
0,42,GA_single_point,73,14070,4.055934423938047,trai,4.055934423938047,trai,0.585
0,42,GA_single_point,74,14260,4.055934423938047,trai,4.055934423938047,trai,0.565
0,42,GA_single_point,75,14450,4.055934423938047,trai,4.055934423938047,trai,0.605
0,42,GA_single_point,76,14640,4.055934423938047,trai,4.055934423938047,trai,0.63
0,42,GA_single_point,77,14830,4.055934423938047,trai,4.055934423938047,trai,0.58
0,42,GA_single_point,78,15020,4.055934423938047,trai,4.055934423938047,trai,0.61
