algo,n_runs,best,median,q1,q3,iqr,std,worst
GA_avec_losers,10,2.6596,3.0291,3.023,3.4184,0.3954,0.4026,4.0559
GA_sans_losers,10,2.9404,3.1117,3.0245,3.2197,0.1952,0.3529,4.1323
